StationCode,Type
1AveE15St,C
1AveE18St,C
1AveE30St,C
1AveE44St,C
10AveW28St,C
11AveW27St,C
11AveW41St,C
11AveW59St,C
12AveW40St,C
2AveE31St,C
2AveE58St,C
3AveSchermerhornSt,C
5AveE29St,C
6AveBroomeSt,C
6AveCanalSt,C
6AveW33St,C
8AveW31St,C
8AveW33St,C
8AveW52St,C
9AveW14St,C
9AveW16St,C
9AveW18St,C
9AveW22St,C
9AveW45St,C
AdelphiStMyrtleAve,C
AllenStEHoustonSt,C
AllenStHesterSt,C
AllenStRivingtonSt,C
AshlandPlHansonPl,C
AtlanticAveFortGreenePl,C
AtlanticAveFurmanSt,C
AvenueDE12St,C
AvenueDE3St,C
AvenueDE8St,C
BankStHudsonSt,C
BankStWashingtonSt,C
BarclayStChurchSt,C
BarrowStHudsonSt,C
BayardStBaxterSt,C
BialystokerPlDelanceySt,C
BondStSchermerhornSt,C
BroadStBridgeSt,C
BroadwayBatteryPl,C
BroadwayBerrySt,C
BroadwayE14St,C
BroadwayE22St,C
BroadwayW24St,C
BroadwayW29St,C
BroadwayW32St,C
BroadwayW36St,C
BroadwayW37St,C
BroadwayW39St,C
BroadwayW41St,C
BroadwayW49St,C
BroadwayW51St,C
BroadwayW53St,C
BroadwayW55St,C
BroadwayW58St,C
BroadwayW60St,C
BusSlipStateSt,C
CadmanPlazaERedCrossPl,C
CadmanPlazaWestMontagueSt,C
CanalStRutgersSt,C
CarltonAveParkAve,C
CarmineSt6Ave,C
CatherineStMonroeSt,C
CentralParkS6Ave,C
CentreStChambersSt,C
CentreStWorthSt,C
CherrySt,C
ChristopherStGreenwichSt,C
ClarkStHenrySt,C
ClermontAveLafayetteAve,C
ClermontAveParkAve,C
ClevelandPlSpringSt,C
CliffStFultonSt,C
ClintonAveFlushingAve,C
ClintonAveMyrtleAve,C
ClintonStGrandSt,C
ClintonStJoralemonSt,C
ClintonStTillarySt,C
ColumbiaHeightsCranberrySt,C
ColumbiaStRivingtonSt,C
ConcordStBridgeSt,C
CumberlandStLafayetteAve,C
DeKalbAveHudsonAve,C
DeKalbAveSPortlandAve,C
DeKalbAveSkillmanSt,C
DeKalbAveVanderbiltAve,C
DeanSt4Ave,C
DivisionStBowery,C
DuaneStGreenwichSt,C
DuffieldStWilloughbySt,C
E10St5Ave,C
E10StAvenueA,C
E11St1Ave,C
E11St2Ave,C
E11StBroadway,C
E12St3Ave,C
E13StAvenueA,C
E14StAvenueB,C
E15St3Ave,C
E16St5Ave,C
E16StIrvingPl,C
E17StBroadway,C
E19St3Ave,C
E2St2Ave,C
E2StAvenueB,C
E2StAvenueC,C
E20St2Ave,C
E20StFDRDrive,C
E20StParkAve,C
E23St1Ave,C
E24StParkAveS,C
E25St1Ave,C
E25St2Ave,C
E27St1Ave,C
E3St1Ave,C
E30StParkAveS,C
E31St3Ave,C
E32StParkAve,C
E33St2Ave,C
E33St5Ave,C
E37StLexingtonAve,C
E39St2Ave,C
E39St3Ave,C
E4St2Ave,C
E40St5Ave,C
E43St2Ave,C
E43StVanderbiltAve,C
E45St3Ave,C
E47St1Ave,C
E47St2Ave,C
E47StParkAve,C
E48St3Ave,C
E48StMadisonAve,C
E5StAvenueC,C
E51St1Ave,C
E51StLexingtonAve,C
E52St2Ave,C
E53StLexingtonAve,C
E53StMadisonAve,C
E55St2Ave,C
E55StLexingtonAve,C
E56St3Ave,C
E56StMadisonAve,C
E58St3Ave,C
E59StSuttonPl,C
E6StAvenueB,C
E6StAvenueD,C
E7StAvenueA,C
E9StAvenueC,C
ElizabethStHesterSt,C
EmersonPlMyrtleAve,C
FDRDriveE35St,C
FlushingAveCarltonAve,C
ForsythStBroomeSt,C
ForsythStCanalSt,C
FranklinAveMyrtleAve,C
FranklinStWBroadway,C
FrontStGoldSt,C
FrontStMaidenLn,C
FrontStWashingtonSt,C
FultonStClermontAve,C
